city,lat,lon,fa-name,en-name,geo
زاهدان,29.4928874,60.8503017,زاهدان,Zahedan,29.477816, 60.864219
زرند,30.8134822,56.5672432,زرند,Zarand,30.811352, 56.573178
زنجان,36.515854,48.4777616,زنجان,Zanjan,36.677941, 48.494417
زيباکنار,37.4345023,49.8780892,زیباکنار,Zanjan,36.677941, 48.494417
ساري,36.5659598,53.0587229,ساری,Sari,36.571884, 53.065929
ساوه,35.029606,50.351792,ساوه,Saveh,35.029557, 50.355161
سبزوار,36.2134053,57.6808799,سبزوار,Sabzevar,36.208708, 57.679608
سربندر,30.4327909,49.0794798,سربندر,Bandar Imam Khomeini,30.559458, 49.050636
سردشت,36.154392,45.477255,سردشت,Sardasht,36.152624, 45.479134
سرعين,38.1493746,48.0746208,سرعین,Saryn,38.149640, 48.072293
سقز,36.2427456,46.2705227,سقز,Saqqez,36.239642, 46.270334
سلماس,38.1969035,44.7685015,سلماس,Salmas,38.203346, 44.768135
سلمان شهر,36.7050537,51.1960013,سلمان شهر,Salman Shahr,36.699618, 51.196700
سمنان,35.3843145,54.6209302,سمنان,Semnan,35.583148, 53.384230
سنندج,35.3126047,46.9978639,سنندج,Sanandaj,35.306605, 47.002405
سياهکل,37.1521893,49.8716407,سیاهکل,Siahkal,37.152059, 49.871986
سيرجان,29.4458687,55.6704717,سیرجان,Sirjan,29.440871, 55.674419
شاهرود,28.0326946,56.3560683,شاهرود,Shahrud,36.412500, 54.969945
شبستر,38.1783704,45.7002363,شبستر,Shabestar,38.180666, 45.703423
شفت,37.1703562,49.4027782,شفت,Shaft,37.170361, 49.403829
شهربابک,30.2624007,54.9222443,شهربابک,Shahrebabak,30.121282, 55.119528
شهرکرد,32.3257366,50.8497369,شهرکرد,Shahrekord,32.340052, 50.869653
شوش دانيال,35.4705369,50.9929999,شوش,Shush,32.193467, 48.257097
شوشتر,32.0547874,48.8456666,شوشتر,Shushtar,32.050664, 48.845439
شيراز,29.6060218,52.5378041,شیراز,Shiraz,29.618863, 52.509386
شيروان,37.40306,57.928755,شیروان,Shirvan,37.401740, 57.926027
صوفيان,37.8977585,44.6701511,صوفیان,Sufian,38.279149, 45.983460
صومعه سرا,37.301672,49.3147378,صومه سرا,Someh Sara,37.306148, 49.317297
طبس,35.672012,56.928074,طبس,Tabas,33.604708, 56.929977
عجب شير,33.607517,45.8936922,عجب شیر,Ajabshir,37.480446, 45.891873
عسلويه,27.4760027,52.6070411,عسلویه,Asaluyeh,27.474701, 52.610890
علي آباد,35.7499403,47.3457311,,,
عنبرآباد,28.4779105,57.844051,,,
فريدون کنار,36.6830883,52.5217808,,,
فسا,28.9366395,53.6510677,,,
فومن,37.2273234,49.3141954,,,
قائمشهر,36.46528995,52.86597381,,,
قائن قائنات,33.7258398,59.1893483,,,
قره ضياالدين,38.891166,45.0282107,,,
قروه,35.1679005,47.800886,,,
قزوين,36.29,50.01,,,
قشم,26.9503253,56.2690869,,,
قم,34.6423117,50.8800969,,,
قوچان,37.105993,58.5108056,,,
قير و کارزين,28.3284196,52.9817434,,,
کازرون,29.6203251,51.6520826,,,
کاشان,33.984896,51.428673,,,
کاشمر,35.1985846,58.44797995,,,
کرج,35.8224892,50.9904681,,,
کردکوي,36.7914895,54.11342994,,,
کرمان,35.9772942,53.0989623,,,
کرمانشاه,34.3239414,47.0735891,,,
کلاچاي,37.0769158,50.3971953,,,
کلاله,35.3089039,46.7237881,,,
کنگان,32.6832096,59.8725213,,,
کنگاور,37.2959874,47.614614,,,
کهنوج,27.9502255,57.7025775,,,
کوهدشت,33.5331808,47.6070512,,,
کيش,26.52397,53.986397,,,
گچساران,30.3570209,50.7940113,,,
گراش,27.6701538,54.1378384,,,
گرگان,25.6932827,59.3091295,,,
گرمدره-رادمان,35.7517846,51.081807,,,
گلپايگان,33.4609107,50.28713027,,,
گله دار,27.6633591,52.6611102,,,
گناباد,34.350302,58.6859427,,,
گناوه,29.587827,50.51519,,,
گنبد,34.6826144,48.7454302,,,
لار,27.6619203,54.3229561,,,
لامرد,27.333426,53.1816105,,,
لاهيجان,30.4538442,55.9088085,,,
لنگرود,37.15,50.15,,,
لنگه,26.5812542,54.63769916,,,
لوشان,36.6279334,49.5162305,,,
ماسال وشاندرمن,37.3640801,49.1328792,,,
ماکو,39.2909641,44.4521379,,,
ماهشهر,30.561849,49.183162,بندرماهشهر,Bandar-e Mahshahr,30.556172, 49.179299
